Temperatur	Gewicht	Zeit
25.8799	0.481	0
25.894	0.364	0.2
25.8846	0.065	0.4
25.9052	-0.442	0.6
25.9199	-1.326	0.8
25.9209	-0.676	1.0
25.9342	-0.221	1.2
25.9209	-0.351	1.4
25.9342	0.117	1.6
25.9209	-1.105	1.8
25.922	-0.468	2.0
25.9399	-0.377	2.2
25.9256	-1.82	2.4
25.9172	-0.286	2.6
25.9209	-0.598	2.8
25.9262	-0.364	3.0
25.9253	-0.728	3.2
25.9371	-0.572	3.4
25.9365	0.156	3.6
25.9521	0.52	3.8
25.9342	-1.365	4.0
25.9321	-0.962	4.2
25.9275	-0.507	4.4
25.926	-0.065	4.6
25.9333	-1.417	4.8
25.9527	0.533	5.0
25.9289	0.546	5.2
25.9317	-0.715	5.4
25.9293	-0.091	5.6
25.9411	-0.897	5.8
25.9441	-1.04	6.0
25.9302	-0.182	6.2
25.9256	-0.143	6.4
25.9247	-0.312	6.6
25.9508	-0.663	6.8
25.9518	0.039	7.0
25.9438	0.338	7.2
25.948	0.169	7.4
25.9504	-5.785	7.6
25.964	-24.531	7.8
25.9512	-22.62	8.0
25.9386	-37.635	8.2
25.9602	41.379	8.4
25.9672	8.489	8.6
25.9676	-6.799	8.8
25.9495	-2.47	9.0
25.9672	44.278	9.2
25.9611	-13.195	9.4
25.9628	6.097	9.6
25.956	52.715	9.8
25.9438	89.453	10.0
25.9541	54.275	10.2
25.9399	26.195	10.4
25.963	36.14	10.6
25.9399	131.885	10.8
25.9573	356.798	11.0
25.9392	603.421	11.2
25.9695	412.568	11.4
25.9583	276.081	11.6
25.9308	299.39	11.8
25.946	205.491	12.0
25.9418	244.478	12.2
25.9432	243.75	12.4
25.955	244.283	12.6
25.9392	243.62	12.8
25.9714	244.231	13.0
25.946	243.009	13.2
25.9638	244.647	13.4
25.9569	244.491	13.6
25.9775	243.698	13.8
25.9586	244.634	14.0
25.9531	242.918	14.2
25.9573	245.154	14.4
25.948	243.737	14.6
25.9628	244.075	14.8
25.9598	243.776	15.0
25.9644	243.971	15.2
25.9577	243.828	15.4
25.9647	244.829	15.6
25.9634	244.621	15.8
25.9647	244.101	16.0
25.9653	243.581	16.2
25.9602	244.556	16.4
25.9729	244.764	16.6
25.9743	243.633	16.8
25.9563	244.699	17.0
25.9689	243.399	17.2
25.9541	243.997	17.4
25.9577	243.984	17.6
25.9605	244.283	17.8
25.9676	244.556	18.0
25.9541	244.699	18.2
25.9525	243.906	18.4
25.9556	243.854	18.6
25.9541	242.723	18.8
25.9619	244.192	19.0
25.9544	244.699	19.2
25.963	243.529	19.4
25.9579	244.14	19.6
25.9619	243.698	19.8
25.9438	244.296	20.0
25.9596	244.504	20.2
25.9598	244.608	20.4
25.9514	243.49	20.6
25.9699	245.258	20.8
25.9514	242.749	21.0
25.9657	243.555	21.2
25.9602	243.971	21.4
25.964	244.998	21.6
25.9537	244.14	21.8
